repo,deploymentFrequency,leadTimeForChanges,meanTimeToRecover,changeFailureRate
fsnotify/fsnotify,4.051945036778656,61.47290912230949,512.4181880587483,55.26315789473684
gaearon/react-hot-loader,19.65715424290998,164.98597955083784,65.1651048900463,21.341463414634145
gajus/slonik,52.642185914146964,16.418896139987734,120.3132035383598,23.569023569023567
gchq/CyberChef,79.53867701844231,43.98700213697102,110.85814184833568,14.222222222222221
geany/geany,1.3367940223351882,304.2368599867725,192.5947257834758,47.61904761904762
geist-org/geist-ui,84.07677177575007,4.541684269277005,17.69526945891204,57.142857142857146
GeneaLabs/laravel-model-caching,29.085227187619434,4.426115989073365,32.458424125514405,26.95035460992908
geocoder-php/Geocoder,5.438441471931948,133.6660374290194,250.08212562321935,29.82456140350877
getzola/zola,7.646552446145598,39.95871166087963,76.80028187692902,90.2439024390244
gevent/gevent,2.4023036931486668,176.80324172821133,146.86924177501967,40.625
github/hub,7.32046850441315,186.13337528035402,182.6295529904905,52
gleam-lang/gleam,25.149324334759815,20.810583649137886,25.688023790213567,44.44444444444444
glium/glium,8.198335146966503,78.7815414348918,147.13281679894178,57.6271186440678
gluon-lang/gluon,7.059247294701462,53.594835290009804,95.4267271090535,81.08108108108108
goadesign/goa,15.308768498128979,997.9093787782646,444.4092505787037,33.333333333333336
goaop/framework,4.169654750501378,140.24773904826205,184.09516501322753,51.42857142857143
gobuffalo/buffalo,25.570803211807608,30.135546476144068,142.39088872354498,37.58389261744966
go-flutter-desktop/go-flutter,17.084224003155075,27.69225854700855,51.45560367933724,38.70967741935484
go-kratos/kratos,16.591616596139286,15.349775504242238,26.28087740384615,65.45454545454545
googleapis/google-api-php-client,7.282954454037544,51.08948641243284,204.85491998792273,19.672131147540984
googleapis/google-api-python-client,16.592455795328934,20.779952772775776,138.31802740951179,25.78125
google/autocxx,21.537883892043748,11.488615075764628,15.019357833957551,86.04651162790698
GoogleChrome/workbox,18.642136046033073,16.380694061753285,59.856558159722226,44.329896907216494
GoogleContainerTools/kaniko,9.006430894145495,33.20217979416379,103.21066618217054,57.89473684210526
