repo,deploymentFrequency,leadTimeForChanges,meanTimeToRecover,changeFailureRate
software-mansion/react-native-reanimated,17.903130694809015,19.384135535652476,62.24093664717349,48.717948717948715
TykTechnologies/tyk,34.14279653416356,140.0928398389443,302.56861975136695,16.05839416058394
starship/starship,38.567744257463936,12.113702877717033,69.74618116243585,64
tailscale/tailscale,30.616631169870764,25.34155953171356,72.41511193034599,50
streamlit/streamlit,241.9318105703165,5.431636850872036,52.95027614186625,18.299445471349355
RIOT-OS/RIOT,12.975766070315544,75.25351789972542,160.84103845164609,35.08771929824562
tikv/tikv,30.68539183179035,81.95429465001294,179.434223460379,58.70967741935484
Tribler/tribler,12.27858594952483,103.98298118808016,75.26451735870985,72.5925925925926
gravitational/teleport,,20.69253666790922,118.97243541833201,21.20518688024409
typescript-eslint/typescript-eslint,53.386938377738936,4.464961511819585,44.60536383985983,68.13725490196079
sourcegraph/sourcegraph,78.25327366439882,16.469672664864643,47.88482303804913,28.90625
zephyrproject-rtos/zephyr,19.288246728158132,60.46085257990732,66.03866515769501,81.88976377952756
rollup/rollup,81.09024153216741,5.645674167348715,50.22119702380953,58.223684210526315
rook/rook,26.704719102631575,43.208374829714764,88.83882842092804,66.66666666666667
rsyslog/rsyslog,25.462013268465576,51.31598920913874,93.27069933382226,53.78378378378378
rust-lang/rustfmt,15.075619446936182,38.684986464218454,107.72402574933182,72.36842105263158
saleor/saleor,103.80960467642156,35.34441901045171,86.23187148451022,15.158924205378973
saltstack/salt,24.683712860072728,189.63500602488193,122.33972276803273,70.09803921568627
sass/libsass,8.473011211690276,61.88650361730928,100.08652215676229,86.44067796610169
scikit-learn/scikit-learn,7.378289689529456,109.50283791905622,293.1487271553908,58.51063829787234
scrapy/scrapy,8.18174944192481,121.32087626270145,274.0748021821364,52.33644859813084
secdev/scapy,26.942587460243164,307.13369193290856,183.9860691071867,6.4638783269961975
Semantic-Org/Semantic-UI-React,45.61116501615483,9.02152520909943,57.747944522912746,64.47368421052632
sequelize/sequelize,49.11269192950954,21.389160088861548,143.94521812181605,36.258278145695364
serverless/serverless,52.09093320457916,31.716917417887156,89.69851792339769,48.611111111111114
shaka-project/shaka-player,28.481914346140627,29.6805288256645,58.890818165482834,67.11711711711712
Shopify/polaris,90.93608587087049,69.70690042379994,239.52756353214684,26.89804772234273
solo-io/gloo,186.2134610091527,3.7446088885967153,42.90333147321428,51.5451174289246
spulec/moto,18.777817833866685,56.21985109625577,119.46520458333335,80.66298342541437
spyder-ide/spyder,13.526101593953909,86.25295158610372,183.47303294086268,93.85474860335195
sqlfluff/sqlfluff,19.67480482500805,20.758129688946145,30.595409595224904,84.81012658227849
StarRocks/starrocks,64.41982228961974,48.026505667940704,74.95218423448641,65.67164179104478
stellar/stellar-core,18.330083185488437,28.740918532239615,87.73181879708098,65.89147286821705
storybookjs/storybook,206.83346825416933,17.879220935502648,33.808057208994704,57.711803041274436
strapi/strapi,36.73707592149038,27.918371414941685,100.42652659825431,71.7557251908397
stylelint/stylelint,26.55388952612643,13.644213814214723,92.54627379427365,68.71794871794872
surveyjs/survey-library,59.70531469386153,7.980784968446273,9.62867566287879,74.8051948051948
sveltejs/svelte,64.44832152691653,11.162932360326428,67.69557114438658,67.79220779220779
swagger-api/swagger-ui,25.697703277566305,29.23148156152349,93.49214018246187,42.32209737827716
swaywm/sway,13.401253207596522,40.056645814836855,97.25885091845878,46.15384615384615
swc-project/swc,99.52863758989744,2.344283027722296,22.428105709876544,85.61872909698997
taichi-dev/taichi,38.99972341635555,12.084794996843435,28.792596809994922,93.57798165137615
teambit/bit,24.141747894926176,37.47503869769675,25.03340193089431,44.927536231884055
tensorflow/tensorflow,27.083169775804848,88.778272248134,142.78086861990306,51.36612021857923
the1812/Bilibili-Evolved,69.97193328346548,4.354194812306371,27.887290665064103,70.03367003367003
thelounge/thelounge,16.8805992409324,35.430608955430834,98.69274063402942,53.84615384615385
timescale/timescaledb,16.019541239473398,55.14435106318058,95.39525543287768,81.11111111111111
Tinkoff/taiga-ui,64.67617409118229,5.239747362145564,24.026285169097665,66.92307692307692
ToolJet/ToolJet,89.66113711705745,6.354053676865271,16.49010810043172,65.38461538461539
transmission/transmission,6.869478639710151,593.9224075611038,501.3341636542364,45.535714285714285
TryGhost/Ghost,64.88305477626815,481.71097947561134,163.64669707892418,40.6301824212272
turbot/steampipe,144.56321042656293,4.499749563606569,9.496266121031745,36.36363636363637
tusen-ai/naive-ui,77.23804143100631,8.535021656513438,13.462319788797062,62.30769230769231
twbs/bootstrap,8.67930387089563,154.95182083078186,171.7990227921829,71.25
uber/baseweb,92.840342539857,2.8697029283926905,38.29012691844241,48.29396325459317
Uniswap/interface,173.33452727394732,3.3672735579664335,37.90507497617103,23.84259259259259
vector-im/element-web,56.826127986734704,20.41620377747338,148.0803212732305,20.91346153846154
vega/vega-lite,30.510111869796468,18.232015474148785,96.86148682336182,60.79295154185022
vitejs/vite,137.3829783157682,2.826354577378019,60.1636595992644,72.1830985915493
vmware-tanzu/kubeapps,15.390696086054522,26.221718908509484,59.362427632809585,85.71428571428571
vmware-tanzu/velero,17.057457146282083,41.470975593705404,107.42300728785106,48.888888888888886
VSCodeVim/Vim,32.14362698055603,13.171457301614723,144.51818776868387,78.02690582959642
vuejs/core,45.510573242196735,6.218623203842941,50.08343227973464,78.46153846153847
vuejs/vue-cli,27.91396256210179,15.59569632811465,47.783150790630806,48.06629834254144
vuetifyjs/vuetify,76.91399520602617,27.72803855166896,86.37978663572493,64.75770925110132
wagtail/wagtail,22.24326881378081,43.66367658355892,177.59275901871845,34.715025906735754
Warzone2100/warzone2100,6.130200811604297,368.38027425530294,112.93960628531073,45
wasmerio/wasmer,15.41126311318,41.2983138871103,83.42178106158484,80.32786885245902
wazuh/wazuh,12.273721517447477,146.1094544128697,142.8502600270158,72.94117647058823
webdriverio/webdriverio,53.173308371585925,350.7469678000795,36.14814819500675,32.07885304659498
webpack/webpack,66.41208830106055,16.400584184719943,89.58356697180135,57.21561969439728
wenzhixin/bootstrap-table,7.017934760534302,61.26718462372381,182.4310825307914,89.65517241379311
wesnoth/wesnoth,12.376538969448257,63.79258905711817,201.58749192592595,60.18957345971564
wix/Detox,42.84568210885697,21.606212404296446,66.39161384538902,35.33487297921478
xbmc/xbmc,3.246201414926524,64.4449576000301,137.51084392931662,21.05263157894737
yarnpkg/yarn,28.193275044237392,10.765011147636423,71.93745461402413,33.734939759036145
yt-dlp/yt-dlp,35.319471202468065,10.114314217963608,28.909118098823125,92.3076923076923
zeek/zeek,9.33483928417398,117.57023362530884,177.58160524515995,18.34862385321101
zulip/zulip,14.84098228743854,94.24292560457741,132.9487128729292,39.53488372093023
